name,address,city,state,zip,contact,email,invoice_sent
Central,4525 N. Central Ave.,Phoenix,AZ,85012,Renee Morgan,rmorgan@phxhs.k12.az.us,true
Trevor Browne,7402 West Catalina Dr.,Phoenix,AZ,85033,Jane Wingert,wingert@phxhs.k12.az.us,true
Kingman Academy,3420 N. Burbank Ave.,Kingman,AZ,86409,Michael Suchowierski,secretagentman23@hotmail.com,true
Ironwood,6051 West Sweetwater Ave.,Glendale,AZ,85304,David L. Smith,dlsmith@peoriaud.k12.az.us,true
Duncan,108 Stadium Blvd. P.O. Box 710,Duncan,AZ,85534,Jackie Hale,jhale@duncanhs.k12.az.us,true
Washington,2217 W. Glendale Ave.,Phoenix,AZ,85021,Rebecca McGinnis,rebecca.mcginnis@guhsdaz.org,true
Pima,PO Box 429,Pima,AZ,85543,Laurie Moody,lmoody@pima.k12.az.us,true
Benson,360 S Patagonia,Benson,AZ,85602,Tina Gudvangen,tgudvangen@bensonsd.k12.az.us,true
Payson,PO Box 919,Payson,AZ,85541,Bud Evans,bud.evans@pusd.com,true
Peoria,11200 N 83rd Ave.,Peoria,AZ,85345,Dawn Davis,dadavis@peoriaud.k12.az.us,true
Fairfax,8225 S. 59th Ave.,Laveen,AZ,85339,Allyson Hill,ahill1@phxhs.k12.az.us,true
Liberty,9621 W Speckled Gecko Dr.,Peoria,AZ,85383,JoDee Pennock,Jpennock@peoriaud.k12.az.us,true
Coolidge,800 W. Northern Ave.,Coolidge,AZ,85128,Tracy Conley,tracy.kelly@coolidgeschools.net,true
Mountain View,3901 W. Linda Vista Blvd.,Tucson,AZ,85742,Chuck Winkler,c.e.winkler@maranausd.org,true
Lake Havasu,2675 S. Palo Verde Blvd.,Lake Havasu,AZ,86403,Laura Denny,ldenny@havasu.k12.az.us,true
Centennial,14388 N 79th Ave.,Peoria,AZ,85381,Mylynda Koener,MKoener@peoriaud.k12.az.us,true
Kingman,4182 North Bank St.,Kingman,AZ,86409,Peg Williams,pwilliams@kusd.org,true
Thatcher,610 N 3rd St.,Thatcher,AZ,85552,Kara Calloway,calloway.kara@thatcherud.k12.az.us,true
Millennium,14802 W. Wigwam Blvd.,Goodyear,AZ,85395,Kyle Crosner,gcruz@aguafria.org,true
Sedona Red Rock,995 Upper Red Rock Loop Road,Sedona,AZ,86336,Marc Sterling,sterling@sedona.k12.az.us,true
Raymond S. Kellis,8990 W. Orangewood,Glendale,AZ,85305,Gale Beauchamp,GBeauchamp@peoriaud.k12.az.us,true
